WORD,DEFINITION,ID,LIST_CATEGORY,WORD_ID
haughty,arrogant conceited          ,498,GRE,GRE_498
heed,attention/give notice to       ,499,GRE,GRE_499
heinous,odious (of crime)         ,500,GRE,GRE_500
heresy,belief contrary to what is generally accepted     ,501,GRE,GRE_501
hermetic,sealed by fusion         ,502,GRE,GRE_502
heterogeneous,made up of different kinds       ,503,GRE,GRE_503
hew,make by hard work cut (by striking)     ,504,GRE,GRE_504
highbrow,(person) with superior tastes      ,505,GRE,GRE_505
hirsute,hairy shaggy          ,506,GRE,GRE_506
hoax,mischievous trick played on smb for a joke    ,507,GRE,GRE_507
hoi,polloi the masses the rabble       ,508,GRE,GRE_508
hollow,not soled with hole        ,509,GRE,GRE_509
holster,leather case for a pistol       ,510,GRE,GRE_510
homiletics,act of preaching       ,511,GRE,GRE_511
hone,stone used for sharpening tools       ,512,GRE,GRE_512
hoodwink,trick mislead          ,513,GRE,GRE_513
hospitable,liking to give hospitality        ,514,GRE,GRE_514
hubris,arrogant pride          ,515,GRE,GRE_515
hush,make or become silent      ,516,GRE,GRE_516
husk,worthless outside part of anything       ,517,GRE,GRE_517
hypocrisy,falsely making oneself appear to be good     ,518,GRE,GRE_518
iconoclast,person who attacks popular beliefs       ,519,GRE,GRE_519
idiosyncrasy,personal mannerism          ,520,GRE,GRE_520
idolatry,excessive admiration of         ,521,GRE,GRE_521
idyll,a carefree episode or experience       ,522,GRE,GRE_522
ignoble,dishonorable common undignified         ,523,GRE,GRE_523
ignominious,shameful dishonorable undignified disgraceful        ,524,GRE,GRE_524
illicit,unlawful forbidden          ,525,GRE,GRE_525
imbroglio,complicated and embarrassing situation        ,526,GRE,GRE_526
immaculate,pure faultless          ,527,GRE,GRE_527
imminent,likely to come or happen soon      ,528,GRE,GRE_528
immutable,that cannot be changed        ,529,GRE,GRE_529
impair,worsen diminish in value        ,530,GRE,GRE_530
impassive,unmoved feeling no sign of passion      ,531,GRE,GRE_531
impecunious,having little or no money       ,532,GRE,GRE_532
impede,hinder get in the way of      ,533,GRE,GRE_533
impediment,smth that hinders (e.g. stammer)       ,534,GRE,GRE_534
impending,imminent being about to happen expected      ,535,GRE,GRE_535
imperative,urgent essential          ,536,GRE,GRE_536
imperious,commanding haughty arrogant         ,537,GRE,GRE_537
impermeable,that cannot be permeated        ,538,GRE,GRE_538
imperturbable,calm not capable of being excited      ,539,GRE,GRE_539
impervious,not allowing to pass through (of materials)     ,540,GRE,GRE_540
imperviousness,haughty arrogant commanding         ,541,GRE,GRE_541
impetuous,having sudden energy impulsive thrusting ahead forceful     ,542,GRE,GRE_542
impiety,lack of reverence or dutifulness       ,543,GRE,GRE_543
implacable,incapable of being placated unpleasable       ,544,GRE,GRE_544
implicate,show that smb has a share      ,545,GRE,GRE_545
implicit,implied though not plainly expressed       ,546,GRE,GRE_546
implosion,collapse bursting inward         ,547,GRE,GRE_547
importune,beg urgently solicit (of a prostitute)      ,548,GRE,GRE_548
imprecation,an invocation of evil a curse      ,549,GRE,GRE_549
impromptu,without preparation          ,550,GRE,GRE_550
impudent,rash indiscreet          ,551,GRE,GRE_551
impugned,challenged to be doubted        ,552,GRE,GRE_552
impute,to attribute to a cause or source ascribe    ,553,GRE,GRE_553
inadvertent,not paying proper attention        ,554,GRE,GRE_554
inane,silly senseless          ,555,GRE,GRE_555
inasmuch,since because          ,556,GRE,GRE_556
incense,make angry          ,557,GRE,GRE_557
incessant,often repeated continual         ,558,GRE,GRE_558
inchoate,not yet fully formed rudimentary elementary      ,559,GRE,GRE_559
incipient,beginning         ,560,GRE,GRE_560
incise,engrave make a cut in       ,561,GRE,GRE_561
incite,stir up rouse         ,562,GRE,GRE_562
inclined,directing the mind in a certain direction     ,563,GRE,GRE_563
incongruous,out of place not in harmony or agreement    ,564,GRE,GRE_564
incorrigibility,cannot be cured or corrected       ,565,GRE,GRE_565
incredulous,skeptical unwilling to believe        ,566,GRE,GRE_566
inculcate,fix firmly by repetition        ,567,GRE,GRE_567
incumbents,official duties          ,568,GRE,GRE_568
incursion,a raid a sudden attack       ,569,GRE,GRE_569
indefatigability,not easily exhaustible tirelessness        ,570,GRE,GRE_570
indelible,that cannot be rubbed out       ,571,GRE,GRE_571
indigence,poverty           ,572,GRE,GRE_572
indigenous,native           ,573,GRE,GRE_573
indistinct,not easily heard seen clearly marked      ,574,GRE,GRE_574
indolence,laziness           ,575,GRE,GRE_575
indomitable,not easily discouraged or subdued       ,576,GRE,GRE_576
indulge,gratify give way to satisfy allow oneself     ,577,GRE,GRE_577
indulgent,inclined to indulge         ,578,GRE,GRE_578
ineffable,to great to be described in words     ,579,GRE,GRE_579
ineluctable,certain inevitable          ,580,GRE,GRE_580
inept,unskillful said or done at the wrong time    ,581,GRE,GRE_581
ineptitude,quality of being unskillful      ,582,GRE,GRE_582
inferno,hell         ,583,GRE,GRE_583
infuriate,fill with fury or rage       ,584,GRE,GRE_584
infuse,put pour fill         ,585,GRE,GRE_585
ingenuous,naive young artless frank honest sincere      ,586,GRE,GRE_586
ingest,take in by swallowing        ,587,GRE,GRE_587
inimical,harmful or friendly         ,588,GRE,GRE_588
inimitable,defying imitation unmatchable         ,589,GRE,GRE_589
innocuous,causing no harm         ,590,GRE,GRE_590
inscrutable,incapable of being discovered or understood      ,591,GRE,GRE_591
insensible,unconscious unresponsive unaffected         ,592,GRE,GRE_592
insinuate,suggest unpleasantly make a way for smth gently    ,593,GRE,GRE_593
insipid,without taste or flavor        ,594,GRE,GRE_594
insouciant,unconcerned carefree          ,595,GRE,GRE_595
insularity,narrow-mindedness isolated          ,596,GRE,GRE_596
insurrection,rising of people to open resistance to     ,597,GRE,GRE_597
interdict,prohibit forbid          ,598,GRE,GRE_598
interim,as an installment         ,599,GRE,GRE_599
intersperse,place here and there        ,600,GRE,GRE_600
intransigence,unwillingness to compromise stubbornness intractability       ,601,GRE,GRE_601
intransigent,uncompromising           ,602,GRE,GRE_602
intrepid,fearless brave undaunted         ,603,GRE,GRE_603
introspection,examining one's own thoughts and feelings      ,604,GRE,GRE_604
inundate,flood cover by overflowing        ,605,GRE,GRE_605
inured,accustomed to adapted         ,606,GRE,GRE_606
invective,abusive language curses         ,607,GRE,GRE_607
inveigh,to attack verbally denounce deprecate       ,608,GRE,GRE_608
inveterate,deep-rooted. long-established          ,609,GRE,GRE_609
invincible,too strong to be defeated     ,610,GRE,GRE_610
involute,complex           ,611,GRE,GRE_611
irascible,irritable easily angered         ,612,GRE,GRE_612
irate,angry           ,613,GRE,GRE_613
ire,anger           ,614,GRE,GRE_614
irksome,tiresome           ,615,GRE,GRE_615
irresolute,hesitating undecided          ,616,GRE,GRE_616
irrevocable,final and unalterable         ,617,GRE,GRE_617
itinerate,to travel from place to place to peregrinate    ,618,GRE,GRE_618
jabber,talk excitedly utter rapidly        ,619,GRE,GRE_619
jibe,gibe make fun of        ,620,GRE,GRE_620
jocular,meant as a joke        ,621,GRE,GRE_621
judicious,sound in judgment wise        ,622,GRE,GRE_622
knit,draw together unite firmly        ,623,GRE,GRE_623
labyrinthine,to entangle the state of affairs      ,624,GRE,GRE_624
lachrymose,causing tears tearful         ,625,GRE,GRE_625
lackluster,(of eyes) dull         ,626,GRE,GRE_626
lament,show feel great sorrow        ,627,GRE,GRE_627
lassitude,weariness tiredness          ,628,GRE,GRE_628
latent,present but not yet active developed or visible    ,629,GRE,GRE_629
laudatory,expressing or giving praise        ,630,GRE,GRE_630
lavish,giving or producing freely liberally or generously     ,631,GRE,GRE_631
legacy,smth handed down from ancestors       ,632,GRE,GRE_632
levee,formal reception/embankment        ,633,GRE,GRE_633
levity,lack of seriousness       ,634,GRE,GRE_634
libel,statement that damages reputation        ,635,GRE,GRE_635
liberality,free giving generosity         ,636,GRE,GRE_636
libertine,immoral person          ,637,GRE,GRE_637
lien,legal claim until a debt on it is repaid   ,638,GRE,GRE_638
limn,paint portray          ,639,GRE,GRE_639
limp,lacking strength walking unevenly        ,640,GRE,GRE_640
lionize,treat as a famous person     ,641,GRE,GRE_641
lithe,bending twisting          ,642,GRE,GRE_642
loll,rest to sit or stand in a lazy way hang (dog's tongue),643,GRE,GRE_643
lope,move along with long strides     ,644,GRE,GRE_644
loquacious,talkative garrulous          ,645,GRE,GRE_645
lucubrate,write in scholarly fashion        ,646,GRE,GRE_646
luculent,easily understood lucid clear        ,647,GRE,GRE_647
lugubrious,mournful excessively sad         ,648,GRE,GRE_648
lull,become quiet or less active       ,649,GRE,GRE_649
lumber,move in a clumsy/noisy way     ,650,GRE,GRE_650
luminary,star light-giving body         ,651,GRE,GRE_651
lurk,be out of view ready to attack   ,652,GRE,GRE_652
lustrous,being bright polished         ,653,GRE,GRE_653
macabre,gruesome suggesting death         ,654,GRE,GRE_654
macerate,make or become soft by soaking in water  ,655,GRE,GRE_655
machination,plot scheme (esp. evil)        ,656,GRE,GRE_656
maladroit,tactless clumsy          ,657,GRE,GRE_657
malapropism,misuse of a word (for one that resembles it)   ,658,GRE,GRE_658
malevolence,wishing to do evil        ,659,GRE,GRE_659
malign,injurious speak ill of smb tell lie     ,660,GRE,GRE_660
malinger,to fake illness or injury in order to shirk a duty ,661,GRE,GRE_661
malleable,yielding easily shaped moldable adapting       ,662,GRE,GRE_662
manacle,chains for the hands or feet      ,663,GRE,GRE_663
massacre,cruel killing of a large number of people    ,664,GRE,GRE_664
matriculation,be admitted enter a university as a student    ,665,GRE,GRE_665
maudlin,sentimental in a silly or tearful way     ,666,GRE,GRE_666
maul,hurt by rough handling      ,667,GRE,GRE_667
maverick,rebel nonconformist          ,668,GRE,GRE_668
mellifluous,sweetly flowing          ,669,GRE,GRE_669
mendacity,dishonesty           ,670,GRE,GRE_670
mendicant,a beggar          ,671,GRE,GRE_671
mercurial,quick changeable in character fleeting       ,672,GRE,GRE_672
meretricious,attractive on the surface but of little value    ,673,GRE,GRE_673
mesmerize,hypnotize           ,674,GRE,GRE_674
meticulous,giving great attention to details       ,675,GRE,GRE_675
mettle,quality of endurance or courage       ,676,GRE,GRE_676
mettlesome,courageous high-spirited          ,677,GRE,GRE_677
middling,fairly good but not very good      ,678,GRE,GRE_678
minatory,menacing threatening          ,679,GRE,GRE_679
mince,pronounce or speak affectedly euphemize       ,680,GRE,GRE_680
misanthrope,person who hates mankind        ,681,GRE,GRE_681
mischievous,harmful causing mischief         ,682,GRE,GRE_682
miser,person who loves wealth and spends little     ,683,GRE,GRE_683
misogynist,one who hates women/females        ,684,GRE,GRE_684
moderation,quality of being limited not extreme      ,685,GRE,GRE_685
mollify,make calmer or quieter        ,686,GRE,GRE_686
molt,moult lose hair feathers before new growing     ,687,GRE,GRE_687
morbid,diseased unhealthy (e.g.. about ideas)       ,688,GRE,GRE_688
morose,ill-tempered unsocial          ,689,GRE,GRE_689
muffler,cloth worn round the neck/silencer     ,690,GRE,GRE_690
multifarious,varied motley greatly diversified        ,691,GRE,GRE_691
mundane,worldly as opposed to spiritual commonplace everyday     ,692,GRE,GRE_692
myriad,very great number         ,693,GRE,GRE_693
nadir,lowest weakest point         ,694,GRE,GRE_694
nascent,coming into existence emerging        ,695,GRE,GRE_695
nebulous,cloud-like hazy vague indistinct        ,696,GRE,GRE_696
negligent,taking too little care        ,697,GRE,GRE_697
neophyte,person who has been converted to a belief    ,698,GRE,GRE_698
nexus,a connection tie or link       ,699,GRE,GRE_699
nibble,show some inclination to accept (an offer)     ,700,GRE,GRE_700
noisome,offensive disgusting (smell)         ,701,GRE,GRE_701
nonchalant,not having interest         ,702,GRE,GRE_702
nonplused,greatly surprised          ,703,GRE,GRE_703
nostrum,a quack remedy an untested cure      ,704,GRE,GRE_704
noxious,harmful           ,705,GRE,GRE_705
nugatory,trifling/worthless         ,706,GRE,GRE_706
obdurate,hardened and unrepenting stubborn inflexible       ,707,GRE,GRE_707
obfuscate,to darken make obscure muddle       ,708,GRE,GRE_708
oblivious,unaware having no memory        ,709,GRE,GRE_709
obloquy,abusively detractive language sharp criticism vituperation      ,710,GRE,GRE_710
obsequious,too eager to obey or serve      ,711,GRE,GRE_711
obstreperous,noisy loud          ,712,GRE,GRE_712
obtain,to be established accepted or customary      ,713,GRE,GRE_713
obtrusive,projecting prominent undesirably noticeable        ,714,GRE,GRE_714
obtuse,blunt/stupid         ,715,GRE,GRE_715
obviate,to make unnecessary get rid of      ,716,GRE,GRE_716
occluded,blocked up          ,717,GRE,GRE_717
odious,repulsive hateful          ,718,GRE,GRE_718
odium,contempt dislike aversion         ,719,GRE,GRE_719
odor,smell favor reputation         ,720,GRE,GRE_720
officious,too eager or ready to help offer advice    ,721,GRE,GRE_721
ominous,threatening         ,722,GRE,GRE_722
onerous,needing effort burdensome         ,723,GRE,GRE_723
opaqueness,dullness/not allowing light to pass through    ,724,GRE,GRE_724
opprobrious,showing scorn or reproach        ,725,GRE,GRE_725
ossify,to turn to bone to settle rigidly into an idea  ,726,GRE,GRE_726
ostensible,seeming appearing as such professed       ,727,GRE,GRE_727
ostentation,display to obtain admiration or envy      ,728,GRE,GRE_728
ostracism,shut out from society refuse to meet talk    ,729,GRE,GRE_729
overhaul,examine thoroughly to learn about the condition     ,730,GRE,GRE_730
overweening,presumptuously arrogant overbearing immoderate being a jerk     ,731,GRE,GRE_731
paean,song of praise or triumph       ,732,GRE,GRE_732
palate,roof of the mouth sense of taste     ,733,GRE,GRE_733
palatial,magnificent           ,734,GRE,GRE_734
palliate,lessen the severity of        ,735,GRE,GRE_735
palpability,can be felt touched understood       ,736,GRE,GRE_736
palpitate,tremble beat rapidly and irregularly       ,737,GRE,GRE_737
panegyric,formal praise eulogy         ,738,GRE,GRE_738
paradigm,a model example or pattern       ,739,GRE,GRE_739
parenthesis,sentence within another one smth separated      ,740,GRE,GRE_740
pariah,an outcast a rejected and despised person     ,741,GRE,GRE_741
parsimonious,too economical miserly         ,742,GRE,GRE_742
partisan,one-sided committed to a party biased or prejudiced    ,743,GRE,GRE_743
patron,regular customer person who gives support      ,744,GRE,GRE_744
paucity,scarcity a lacking of        ,745,GRE,GRE_745
peccadillo,small sin small weakness in one's character     ,746,GRE,GRE_746
pedantic,bookish showing off learning        ,747,GRE,GRE_747
pedestrian,commonplace trite unremarkable         ,748,GRE,GRE_748
pellucid,transparent easy to understand        ,749,GRE,GRE_749
penchant,strong inclination a liking        ,750,GRE,GRE_750
penitent,feeling or showing regret        ,751,GRE,GRE_751
penurious,poor/stingy         ,752,GRE,GRE_752
penury,extreme poverty          ,753,GRE,GRE_753
peregrination,traveling about wandering         ,754,GRE,GRE_754
peremptory,urgent imperative unchallengeable ending debate       ,755,GRE,GRE_755
perfidious,treacherous faithless          ,756,GRE,GRE_756
perfidy,treachery breaking of faith        ,757,GRE,GRE_757
perfunctory,done as a duty without care      ,758,GRE,GRE_758
perilous,dangerous           ,759,GRE,GRE_759
peripatetic,wandering           ,760,GRE,GRE_760
perish,be destroyed decay         ,761,GRE,GRE_761
perjury,willful FALSE statement unlawful act       ,762,GRE,GRE_762
permeate,spread into every part of       ,763,GRE,GRE_763
pernicious,harmful injurious          ,764,GRE,GRE_764
perpetrate,be guilty commit (a crime)       ,765,GRE,GRE_765
personable,pleasing in appearance attractive        ,766,GRE,GRE_766
perspicacity,quick judging and understanding        ,767,GRE,GRE_767
pertain,belong as a part have reference      ,768,GRE,GRE_768
pest,destructive thing or a person who is nuisance    ,769,GRE,GRE_769
petrified,taken away power (to think feel act)     ,770,GRE,GRE_770
petrify,to make hard rocklike        ,771,GRE,GRE_771
petrous,like a rock hard stony       ,772,GRE,GRE_772
petulant,unreasonably impatient          ,773,GRE,GRE_773
philistine,a smug ignorant person one who lacks knowledge    ,774,GRE,GRE_774
phlegmatic,calm sluggish temperament unemotional        ,775,GRE,GRE_775
picaresque,involving clever rogues or adventurers       ,776,GRE,GRE_776
pied,of mixed colors         ,777,GRE,GRE_777
pinch,be too tight take between the thumb and finger   ,778,GRE,GRE_778
pine,waste away through sorrow or illness    ,779,GRE,GRE_779
pious,dutiful to parents devoted to religion      ,780,GRE,GRE_780
piquant,agreeably pungent stimulating         ,781,GRE,GRE_781
pique,hurt the pride or self-respect stir (curiosity)     ,782,GRE,GRE_782
pitfall,covered hole as a trap unsuspected danger     ,783,GRE,GRE_783
pith,essential part force soft liquid substance      ,784,GRE,GRE_784
pivotal,of great importance (others depend on it)     ,785,GRE,GRE_785
placate,soothe pacify calm         ,786,GRE,GRE_786
plaintive,mournful melancholy sorrowful         ,787,GRE,GRE_787
plaque,flat metal on a wall as a memorial    ,788,GRE,GRE_788
platitude,a trite or banal statement unoriginality      ,789,GRE,GRE_789
plea,request           ,790,GRE,GRE_790
plead,address a court of law as an advocate    ,791,GRE,GRE_791
plethora,glut           ,792,GRE,GRE_792
pliant,pliable easily bent shaped or twisted      ,793,GRE,GRE_793
plod,continue doing smth without resting       ,794,GRE,GRE_794
pluck,pull the feathers off pick (e.g.. flowers)     ,795,GRE,GRE_795
plumb,get to the root of       ,796,GRE,GRE_796
plummet,fall plunge steeply         ,797,GRE,GRE_797
plunge,move quickly suddenly and with force      ,798,GRE,GRE_798
poignant,deeply moving keen         ,799,GRE,GRE_799
poncho,large piece of cloth      ,800,GRE,GRE_800
ponderous,heavy bulky dull         ,801,GRE,GRE_801
portent,omen marvelous threatening         ,802,GRE,GRE_802
precarious,uncertain risky dangerous         ,803,GRE,GRE_803
precepts,rules establishing standards of conduct       ,804,GRE,GRE_804
preclude,prevent make impossible         ,805,GRE,GRE_805
precursory,preliminary anticipating          ,806,GRE,GRE_806
predilection,special liking mental preference        ,807,GRE,GRE_807
predominate,have more power than others       ,808,GRE,GRE_808
preen,tidy/show self-satisfaction        ,809,GRE,GRE_809
premature,doing or happening smth before the right time    ,810,GRE,GRE_810
preponderance,greatness in number strength weight       ,811,GRE,GRE_811
presage,warning sign          ,812,GRE,GRE_812
presumption,arrogance         ,813,GRE,GRE_813
preternatural,not normal or usual        ,814,GRE,GRE_814
prevalent,common           ,815,GRE,GRE_815
prevaricate,to equivocate to stray from the truth     ,816,GRE,GRE_816
prim,neat formal          ,817,GRE,GRE_817
pristine,primitive unspoiled pure as in earlier times unadulterated    ,818,GRE,GRE_818
probity,uprightness incorruptibility principle         ,819,GRE,GRE_819
proclivity,inclination           ,820,GRE,GRE_820
procrastination,keeping on putting off        ,821,GRE,GRE_821
prodigal,wasteful reckless with money        ,822,GRE,GRE_822
prodigious,enormous wonderful          ,823,GRE,GRE_823
profane,worldly having contempt for God       ,824,GRE,GRE_824
profligacy,shameless immorality        ,825,GRE,GRE_825
profligate,wasteful prodigal licentious extravagant        ,826,GRE,GRE_826
profundity,depth           ,827,GRE,GRE_827
profuse,abundant/lavish         ,828,GRE,GRE_828
proliferate,grow reproduce by rapid multification       ,829,GRE,GRE_829
prolix,tiring because too long        ,830,GRE,GRE_830
prone,prostrate inclined to (undesirable things)       ,831,GRE,GRE_831
propagation,increasing the number spreading extending       ,832,GRE,GRE_832
propinquity,nearness in time or place affinity of nature    ,833,GRE,GRE_833
propitiatory,conciliatory appeasing mitigating         ,834,GRE,GRE_834
propitious,auspicious presenting favorable circumstances        ,835,GRE,GRE_835
prosaic,everyday mundane commonplace trite pedestrian       ,836,GRE,GRE_836
proscribe,denounce as dangerous         ,837,GRE,GRE_837
protracted,prolonged           ,838,GRE,GRE_838
provident,frugal looking to the future       ,839,GRE,GRE_839
provisional,of the present time only       ,840,GRE,GRE_840
provoke,make angry vax         ,841,GRE,GRE_841
prudence,careful forethought          ,842,GRE,GRE_842
prudish,easily shocked excessively modest        ,843,GRE,GRE_843
prune,dried plum silly person        ,844,GRE,GRE_844
pry,get smth inquire too curiously       ,845,GRE,GRE_845
pucker,wrinkle         ,846,GRE,GRE_846
pugnacious,fond of in the habit of fighting     ,847,GRE,GRE_847
puissance,strength         ,848,GRE,GRE_848
punctilious,precise paying attention to trivialities       ,849,GRE,GRE_849
pundit,pedant authority on a subject       ,850,GRE,GRE_850
pungency,sharpness stinging quality         ,851,GRE,GRE_851
purvey,provide supply          ,852,GRE,GRE_852
pusillanimous,cowardly craven          ,853,GRE,GRE_853
putrefaction,becoming rotten        ,854,GRE,GRE_854
pyre,large pile of wood for burning      ,855,GRE,GRE_855
quack,person dishonestly claiming to smth       ,856,GRE,GRE_856
quaff,drink deeply          ,857,GRE,GRE_857
quail,lose courage turn frightened        ,858,GRE,GRE_858
qualm,feeling of doubt temporary feeling of sickness     ,859,GRE,GRE_859
quandary,state of doubt or perplexity     ,860,GRE,GRE_860
quell,suppress subdue          ,861,GRE,GRE_861
quibble,try to avoid by sophistication       ,862,GRE,GRE_862
quiescence,state of being passive/motionless      ,863,GRE,GRE_863
quiescent,at rest dormant torpid        ,864,GRE,GRE_864
quirk,habit or action peculiar to smb or smth    ,865,GRE,GRE_865
quixotic,generous unselfish          ,866,GRE,GRE_866
quotidian,banal everyday          ,867,GRE,GRE_867
rabble,mob crowd the lower classes of populace     ,868,GRE,GRE_868
raconteur,person who tells anecdotes        ,869,GRE,GRE_869
raffish,low vulgar base tawdry        ,870,GRE,GRE_870
ramify,to be divided or subdivided to branch out    ,871,GRE,GRE_871
rancorous,feeling bitterness spitefulness         ,872,GRE,GRE_872
rant,use extravagant language         ,873,GRE,GRE_873
rapacious,greedy (esp for money)        ,874,GRE,GRE_874
rarefy,to make thin to make less dense to purify or refine ,875,GRE,GRE_875
rave,act with excessive enthusiasm      ,876,GRE,GRE_876
reactionary,opposing progress          ,877,GRE,GRE_877
rebuff,snub           ,878,GRE,GRE_878
recalcitrant,disobedient           ,879,GRE,GRE_879
recant,take back as being FALSE give up     ,880,GRE,GRE_880
recast,cast or fashion anew        ,881,GRE,GRE_881
recidivism,relapse into antisocial or criminal behavior      ,882,GRE,GRE_882
reciprocity,granting of privileges in return for similar     ,883,GRE,GRE_883
recitals,a number of performance of music      ,884,GRE,GRE_884
recluse,person who lives alone and avoids people     ,885,GRE,GRE_885
recompense,make payment to reward punish       ,886,GRE,GRE_886
reconcile,settle a quarrel restore peace       ,887,GRE,GRE_887
recondite,little known abstruse         ,888,GRE,GRE_888
recreancy,cowardice a cowardly giving up       ,889,GRE,GRE_889
recuperate,become strong after illness loss exhaustion      ,890,GRE,GRE_890
redeem,get back by payment compensate       ,891,GRE,GRE_891
redoubtable,formidable causing fear         ,892,GRE,GRE_892
refine,make or become pure cultural       ,893,GRE,GRE_893
refractory,stubborn unmanageable untractable         ,894,GRE,GRE_894
refulgent,shining brilliant          ,895,GRE,GRE_895
regale,to delight or entertain to feast      ,896,GRE,GRE_896
regicide,crime of killing a king       ,897,GRE,GRE_897
reiterate,say or do again several times      ,898,GRE,GRE_898
rejuvenation,becoming young in nature or appearance      ,899,GRE,GRE_899
relapse,fall back again         ,900,GRE,GRE_900
remonstrate,to protest object         ,901,GRE,GRE_901
render,deliver provide represent         ,902,GRE,GRE_902
renovate,restore smth to better condition       ,903,GRE,GRE_903
renowned,celebrated famous          ,904,GRE,GRE_904
repast,meal           ,905,GRE,GRE_905
repel,refuse to accept/cause dislike      ,906,GRE,GRE_906
repine,at be discontented with        ,907,GRE,GRE_907
reproach,scold upbraid          ,908,GRE,GRE_908
reprobate,person hardened in sin one devoid of decency    ,909,GRE,GRE_909
repudiate,disown refuse to accept or pay      ,910,GRE,GRE_910
repulsive,causing a feeling of disgust       ,911,GRE,GRE_911
requite,repay give in return        ,912,GRE,GRE_912
rescind,repeal/annul/cancel         ,913,GRE,GRE_913
resigned,unresisting submissive          ,914,GRE,GRE_914
resilience,quality of quickly recovering the original shape     ,915,GRE,GRE_915
resort,to frequently visit         ,916,GRE,GRE_916
restive,refusing to move reluctant to be controlled     ,917,GRE,GRE_917
resuscitation,coming back to consciousness        ,918,GRE,GRE_918
retard,check hinder          ,919,GRE,GRE_919
reticent,reserved untalkative silent taciturn        ,920,GRE,GRE_920
revere,have deep respect for        ,921,GRE,GRE_921
reverent,feeling or showing deep respect     ,922,GRE,GRE_922
riddle,puzzling person or thing      ,923,GRE,GRE_923
rift,split crack dissension         ,924,GRE,GRE_924
rivet,fix take up secure metal pin      ,925,GRE,GRE_925
roll,call calling of names        ,926,GRE,GRE_926
rotund,rich and deep plump and round      ,927,GRE,GRE_927
ruffian,violent cruel man         ,928,GRE,GRE_928
rumple,make rough        ,929,GRE,GRE_929
sagacious,having sound judgment perceptive wise like a sage    ,930,GRE,GRE_930
salacious,obscene           ,931,GRE,GRE_931
salubrious,healthful           ,932,GRE,GRE_932
salutary,remedial wholesome causing improvement        ,933,GRE,GRE_933
sanctimony,self-righteousness hypocritical with FALSE piety       ,934,GRE,GRE_934
sanction,approval (by authority) penalty        ,935,GRE,GRE_935
sanguine,cheerful confident optimistic         ,936,GRE,GRE_936
sanity,health of mind soundness of judgement      ,937,GRE,GRE_937
sash,long strip worn round the waist    ,938,GRE,GRE_938
satiate,satisfy fully          ,939,GRE,GRE_939
saturnine,gloomy dark sullen morose        ,940,GRE,GRE_940
savant,person of great learning        ,941,GRE,GRE_941
savor,taste flavor smth         ,942,GRE,GRE_942
sawdust,tiny bits of wood        ,943,GRE,GRE_943
scabbard,sheath for the blade        ,944,GRE,GRE_944
scent,smell (esp pleasant)         ,945,GRE,GRE_945
scorch,become discolored/dry up/go at high speed    ,946,GRE,GRE_946
scribble,write hastily          ,947,GRE,GRE_947
scurvy,mean contemptible          ,948,GRE,GRE_948
secular,material (not spiritual) living outside monasteries      ,949,GRE,GRE_949
sedulous,persevering           ,950,GRE,GRE_950
seminal,like a seed constituting a source originative     ,951,GRE,GRE_951
sententious,short and pithy full of maxims/proverbs      ,952,GRE,GRE_952
sequence,succession connected line of        ,953,GRE,GRE_953
sere,make hard and without feeling     ,954,GRE,GRE_954
sermon,reproving a person for his faults    ,955,GRE,GRE_955
serrated,having a toothed edge        ,956,GRE,GRE_956
serration,having a toothed edge        ,957,GRE,GRE_957
servile,like a slave lacking independence       ,958,GRE,GRE_958
sever,break off        ,959,GRE,GRE_959
severance,severing           ,960,GRE,GRE_960
shallow,little depth not earnest        ,961,GRE,GRE_961
shard,piece of broken earthenware        ,962,GRE,GRE_962
sheath,cover for the blade of a weapon or a tool  ,963,GRE,GRE_963
shrewd,astute showing sound judgement        ,964,GRE,GRE_964
shrill,sharp piercing          ,965,GRE,GRE_965
shun,keep away from avoid        ,966,GRE,GRE_966
shunt,send from one track to another lay aside evade discussion  ,967,GRE,GRE_967
sidestep,step to one side        ,968,GRE,GRE_968
simper,(give a) silly/self-conscious smile      ,969,GRE,GRE_969
sinuous,winding undulating serpentine         ,970,GRE,GRE_970
skiff,small boat          ,971,GRE,GRE_971
skit,short piece of humorous writing       ,972,GRE,GRE_972
slack,sluggish dull not tight        ,973,GRE,GRE_973
slake,to assuage to satisfy allay       ,974,GRE,GRE_974
slate,king of blue-grey stone propose criticize      ,975,GRE,GRE_975
sluggard,lazy slow-moving person         ,976,GRE,GRE_976
slur,join sounds/words (indistinct)       ,977,GRE,GRE_977
smolder,burn slowly without flame      ,978,GRE,GRE_978
snare,trap         ,979,GRE,GRE_979
snub,treat with contempt       ,980,GRE,GRE_980
soar,rise fly high         ,981,GRE,GRE_981
sober,self-controlled           ,982,GRE,GRE_982
sobriety,quality or condition of being sober      ,983,GRE,GRE_983
sodden,soaked saturated          ,984,GRE,GRE_984
soggy,heavy with water         ,985,GRE,GRE_985
solvent,of the power of forming a solution     ,986,GRE,GRE_986
somatic,of the body         ,987,GRE,GRE_987
soot,black powder in smoke        ,988,GRE,GRE_988
sophisticated,complex subtle refined         ,989,GRE,GRE_989
sophistry,fallacious reasoning faulty logic        ,990,GRE,GRE_990
sophomoric,self-assured though immature affected bombastic overblown      ,991,GRE,GRE_991
soporific,producing sleep        ,992,GRE,GRE_992
sordid,wretched comfortless contemptible         ,993,GRE,GRE_993
